month,division,line,day_type,reporting_category,subcategory,delays
2025-01-01,B DIVISION,A,2,Police & Medical,Sick/Injured Customer,3
2025-01-01,B DIVISION,B,1,Crew Availability,Crew Availability,64
2025-01-01,B DIVISION,B,1,External Factors,External Debris on Roadbed,26
2025-01-01,B DIVISION,B,1,Infrastructure & Equipment,Braking,103
2025-01-01,B DIVISION,B,1,Infrastructure & Equipment,Door-Related,30
2025-01-01,B DIVISION,B,1,Infrastructure & Equipment,"Fire, Smoke, Debris",59
2025-01-01,B DIVISION,B,1,Infrastructure & Equipment,Other - CE,259
2025-01-01,B DIVISION,B,1,Infrastructure & Equipment,Other - Sig,175
2025-01-01,B DIVISION,B,1,Infrastructure & Equipment,Other Infrastructure,7
2025-01-01,B DIVISION,B,1,Infrastructure & Equipment,Propulsion,1
2025-01-01,B DIVISION,B,1,Infrastructure & Equipment,Rail and Roadbed,119
2025-01-01,B DIVISION,B,1,Infrastructure & Equipment,Service Delivery,56
2025-01-01,B DIVISION,B,1,Infrastructure & Equipment,Signal Modernization Capital Project,6
2025-01-01,B DIVISION,B,1,Infrastructure & Equipment,Train Brake Activation - Cause Unknown,9
2025-01-01,B DIVISION,B,1,Operating Conditions,Other Operating Environment,200
2025-01-01,B DIVISION,B,1,Planned ROW Work,Capital Work - Other Planned ROW,1
2025-01-01,B DIVISION,B,1,Planned ROW Work,Subways Maintenance,152
2025-01-01,B DIVISION,B,1,Planned ROW Work,Work Equipment,44
2025-01-01,B DIVISION,B,1,Police & Medical,Persons on Roadbed,80
2025-01-01,B DIVISION,B,1,Police & Medical,"Public Conduct, Crime, Police Response",399
2025-01-01,B DIVISION,B,1,Police & Medical,Sick/Injured Customer,48
2025-01-01,B DIVISION,C,1,Crew Availability,Crew Availability,59
2025-01-01,B DIVISION,C,1,External Factors,External Debris on Roadbed,3
2025-01-01,B DIVISION,C,1,Infrastructure & Equipment,Braking,76
2025-01-01,B DIVISION,C,1,Infrastructure & Equipment,Door-Related,15
2025-01-01,B DIVISION,C,1,Infrastructure & Equipment,"Fire, Smoke, Debris",23
2025-01-01,B DIVISION,C,1,Infrastructure & Equipment,Other - CE,109
2025-01-01,B DIVISION,C,1,Infrastructure & Equipment,Other - Sig,269
2025-01-01,B DIVISION,C,1,Infrastructure & Equipment,Other Infrastructure,1
2025-01-01,B DIVISION,C,1,Infrastructure & Equipment,Other Internal Disruptions,1
2025-01-01,B DIVISION,C,1,Infrastructure & Equipment,Propulsion,11
2025-01-01,B DIVISION,C,1,Infrastructure & Equipment,Rail and Roadbed,21
2025-01-01,B DIVISION,C,1,Infrastructure & Equipment,Service Delivery,47
2025-01-01,B DIVISION,C,1,Infrastructure & Equipment,Signal Modernization Capital Project,1
2025-01-01,B DIVISION,C,1,Infrastructure & Equipment,Train Brake Activation - Cause Unknown,29
